mots_cles;reponse
planter blé;Le blé se plante en automne, entre octobre et novembre, selon le climat local.
durée culture tomate;La tomate prend entre 60 et 85 jours pour mûrir, selon la variété.
irriguer olivier;L'olivier nécessite une irrigation au goutte-à-goutte toutes les 2 à 3 semaines.
engrais maïs;Le maïs a besoin d'un apport en azote, phosphore et potassium. Utilisez du NPK 20-10-10.
maladie pomme de terre;Le mildiou est fréquent. Utilisez un fongicide à base de cuivre en préventif.
semis carotte;Les carottes se sèment entre mars et juillet, directement en pleine terre.
récolte blé;Le blé est récolté environ 7 à 8 mois après le semis, lorsque les grains sont durs.
type sol riz;Le riz préfère les sols argileux, riches en matière organique et bien irrigués.
climat banane;La banane a besoin d'un climat tropical chaud avec beaucoup d'humidité.
taille vigne;La taille de la vigne se fait en hiver, après la chute des feuilles, pour favoriser la production.
insectes ravageurs;Utilisez des filets ou du savon noir pour lutter contre les pucerons, aleurodes, etc.
rotation cultures;La rotation des cultures aide à éviter l'épuisement du sol et la propagation des maladies.
ph sol tomate;La tomate préfère un sol légèrement acide à neutre, avec un pH de 6.0 à 7.0.
production miel;Une ruche peut produire entre 20 et 40 kg de miel par an, selon les conditions.
engrais naturel;Le compost, le fumier et les purins (ortie, consoude) sont d'excellents engrais naturels.
